2025-07-31 11:30:06.114 [Info] [SpeedTUI][Startup] SpeedTUI 1.0.0 starting up
2025-07-31 11:30:06.898 [Debug] [DashboardScreen][Constructor] Enhanced component created | Type=DashboardScreen Id=366f3fa3-f9da-43ab-97b0-96a24adc5a49
2025-07-31 11:31:14.911 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=22
2025-07-31 11:31:15.241 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=UpArrow
2025-07-31 11:31:15.248 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=UpArrow
2025-07-31 11:31:15.312 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:31:15.384 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=7 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:31:15.397 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=22
2025-07-31 11:31:16.356 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=100 CurrentScreen=TimeTrackingScreen Key=D
2025-07-31 11:31:16.365 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=D
2025-07-31 11:31:16.437 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:31:16.523 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=7 AddFormExists=True ViewMode=Delete EditFormExists=True
2025-07-31 11:31:16.564 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=25
2025-07-31 11:31:20.989 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=121 CurrentScreen=TimeTrackingScreen Key=Y
2025-07-31 11:31:20.998 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Delete KeyString=Y
2025-07-31 11:31:21.039 [Debug] [SpeedTUI][TimeTrackingScreen] Delete confirmation input | SelectedEntry=0 Key=Y
2025-07-31 11:31:21.065 [Debug] [SpeedTUI][TimeTrackingScreen] Deleting time entry | EntryId=6c92a4cc-6799-480d-959b-e32fcc365b52 EntryName= SelectedIndex=0
2025-07-31 11:31:21.099 [Error] [SpeedTUI][TimeTrackingScreen] Error deleting time entry | SelectedEntry=0 Exception=Method invocation failed because [TimeTrackingService] does not contain a method named 'Remove'.
2025-07-31 11:31:21.326 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:31:21.363 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=7 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:31:21.370 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=22
2025-07-31 11:31:22.869 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=100 CurrentScreen=TimeTrackingScreen Key=D
2025-07-31 11:31:22.902 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=D
2025-07-31 11:31:22.974 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:31:23.052 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=7 AddFormExists=True ViewMode=Delete EditFormExists=True
2025-07-31 11:31:23.065 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=25
2025-07-31 11:31:25.375 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=89 CurrentScreen=TimeTrackingScreen Key=Shift+Y
2025-07-31 11:31:25.385 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Delete KeyString=Shift+Y
2025-07-31 11:31:25.397 [Debug] [SpeedTUI][TimeTrackingScreen] Delete confirmation input | SelectedEntry=0 Key=Y
2025-07-31 11:31:25.405 [Debug] [SpeedTUI][TimeTrackingScreen] Deleting time entry | EntryId=6c92a4cc-6799-480d-959b-e32fcc365b52 EntryName= SelectedIndex=0
2025-07-31 11:31:25.418 [Error] [SpeedTUI][TimeTrackingScreen] Error deleting time entry | SelectedEntry=0 Exception=Method invocation failed because [TimeTrackingService] does not contain a method named 'Remove'.
2025-07-31 11:31:25.499 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:31:25.550 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=7 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:31:25.560 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=22
2025-07-31 11:31:27.179 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=100 CurrentScreen=TimeTrackingScreen Key=D
2025-07-31 11:31:27.188 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=D
2025-07-31 11:31:27.258 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:31:27.350 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=7 AddFormExists=True ViewMode=Delete EditFormExists=True
2025-07-31 11:31:27.360 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=25
2025-07-31 11:31:27.732 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=89 CurrentScreen=TimeTrackingScreen Key=Shift+Y
2025-07-31 11:31:27.745 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Delete KeyString=Shift+Y
2025-07-31 11:31:27.752 [Debug] [SpeedTUI][TimeTrackingScreen] Delete confirmation input | SelectedEntry=0 Key=Y
2025-07-31 11:31:27.758 [Debug] [SpeedTUI][TimeTrackingScreen] Deleting time entry | EntryId=6c92a4cc-6799-480d-959b-e32fcc365b52 EntryName= SelectedIndex=0
2025-07-31 11:31:27.767 [Error] [SpeedTUI][TimeTrackingScreen] Error deleting time entry | SelectedEntry=0 Exception=Method invocation failed because [TimeTrackingService] does not contain a method named 'Remove'.
2025-07-31 11:31:27.855 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:31:27.900 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=7 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:31:27.912 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=22
2025-07-31 11:31:30.828 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:31:30.846 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=DownArrow
2025-07-31 11:31:30.919 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:31:30.967 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=7 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:31:30.980 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=22
2025-07-31 11:31:31.872 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=68 CurrentScreen=TimeTrackingScreen Key=Shift+D
2025-07-31 11:31:31.875 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=Shift+D
2025-07-31 11:31:31.934 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:31:31.989 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=7 AddFormExists=True ViewMode=Delete EditFormExists=True
2025-07-31 11:31:31.997 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=25
2025-07-31 11:31:35.434 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=89 CurrentScreen=TimeTrackingScreen Key=Shift+Y
2025-07-31 11:31:35.450 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Delete KeyString=Shift+Y
2025-07-31 11:31:35.464 [Debug] [SpeedTUI][TimeTrackingScreen] Delete confirmation input | SelectedEntry=1 Key=Y
2025-07-31 11:31:35.473 [Debug] [SpeedTUI][TimeTrackingScreen] Deleting time entry | EntryId=4ce843d1-dbab-4670-b1f9-5ba6711056e5 EntryName= SelectedIndex=1
2025-07-31 11:31:35.486 [Error] [SpeedTUI][TimeTrackingScreen] Error deleting time entry | SelectedEntry=1 Exception=Method invocation failed because [TimeTrackingService] does not contain a method named 'Remove'.
2025-07-31 11:31:35.564 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:31:35.614 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=7 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:31:35.628 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=22
2025-07-31 11:31:41.412 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:31:41.421 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=DownArrow
2025-07-31 11:31:41.506 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:31:41.592 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=7 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:31:41.603 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=22
2025-07-31 11:31:41.673 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:31:41.679 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=DownArrow
2025-07-31 11:31:41.742 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:31:41.782 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=7 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:31:41.790 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=22
2025-07-31 11:31:41.898 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:31:41.903 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=DownArrow
2025-07-31 11:31:41.966 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:31:42.012 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=7 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:31:42.027 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=22
